timestamp,name,symbol,price_usd,vol_24h,total_vol,chg_24h,chg_7d,market_cap
2026-02-16 01:59:53,Figure Heloc,figr_heloc,$1.02,"$56,542.00",0.00%,+0.00%,-1.27%,"$15,459,348,752"
2026-02-16 01:59:53,USDS,usds,$1.00,"$2,360,471.00",0.00%,+0.01%,+0.06%,"$9,709,776,160"
2026-02-16 01:59:53,LEO Token,leo,$8.41,"$1,407,069.00",0.00%,-2.91%,+1.52%,"$7,752,220,480"
2026-02-16 01:59:53,Canton,cc,$0.16,"$8,918,693.00",0.00%,-3.39%,-3.53%,"$6,108,135,954"
2026-02-16 01:59:53,MemeCore,m,$1.31,"$8,684,786.00",0.00%,-3.69%,-0.21%,"$2,270,788,334"
2026-02-16 01:59:53,BlackRock USD Institutional Digital Liquidity Fund,buidl,$1.00,$0.00,0.00%,+0.00%,+0.00%,"$1,840,586,028"
2026-02-16 01:59:53,Falcon USD,usdf,$1.00,"$450,478.00",0.00%,-0.01%,-0.00%,"$1,751,385,091"
2026-02-16 01:59:53,Circle USYC,usyc,$1.12,$44.60,0.00%,+nan%,+0.06%,"$1,588,052,579"
2026-02-16 01:59:53,Cronos,cro,$0.08,"$15,168,542.00",0.01%,-4.66%,+0.48%,"$3,282,645,307"
2026-02-16 01:59:53,Bitget Token,bgb,$2.36,"$20,312,609.00",0.01%,-2.76%,-9.70%,"$1,653,835,763"
2026-02-16 01:59:53,OKB,okb,$78.72,"$21,799,193.00",0.01%,-3.36%,+3.84%,"$1,652,876,595"
2026-02-16 01:59:53,Rain,rain,$0.01,"$33,491,232.00",0.02%,+0.62%,+7.38%,"$3,363,943,152"
2026-02-16 01:59:53,Ethena USDe,usde,$1.00,"$62,133,680.00",0.03%,-0.01%,+0.03%,"$6,295,656,710"
2026-02-16 01:59:53,Mantle,mnt,$0.63,"$53,685,151.00",0.03%,-5.39%,-2.10%,"$2,041,677,352"
2026-02-16 01:59:53,WhiteBIT Coin,wbt,$51.49,"$65,835,036.00",0.04%,-1.82%,-3.89%,"$10,997,396,263"
2026-02-16 01:59:53,Monero,xmr,$330.33,"$78,084,708.00",0.04%,-8.33%,+5.22%,"$6,093,315,632"
2026-02-16 01:59:53,Dai,dai,$1.00,"$83,763,438.00",0.04%,+0.00%,-0.04%,"$4,162,438,037"
2026-02-16 01:59:53,Toncoin,ton,$1.48,"$79,251,166.00",0.04%,-1.67%,+5.34%,"$3,623,592,789"
2026-02-16 01:59:53,Pi Network,pi,$0.18,"$78,548,266.00",0.04%,-1.58%,+21.97%,"$1,593,486,079"
2026-02-16 01:59:53,PayPal USD,pyusd,$1.00,"$90,406,416.00",0.05%,+0.02%,+0.04%,"$4,024,260,860"
2026-02-16 01:59:53,Bittensor,tao,$183.85,"$92,177,599.00",0.05%,-3.58%,+11.39%,"$1,764,180,143"
2026-02-16 01:59:53,Polkadot,dot,$1.36,"$104,839,555.00",0.06%,-5.37%,+0.86%,"$2,257,589,757"
2026-02-16 01:59:53,Hedera,hbar,$0.10,"$125,794,076.00",0.07%,-4.56%,+9.39%,"$4,288,450,662"
2026-02-16 01:59:53,Tether Gold,xaut,"$5,002.36","$125,650,080.00",0.07%,+0.15%,+0.59%,"$2,605,302,513"
2026-02-16 01:59:53,World Liberty Financial,wlfi,$0.10,"$145,729,885.00",0.08%,-6.21%,-4.69%,"$2,760,872,916"
2026-02-16 01:59:53,Hyperliquid,hype,$30.59,"$192,799,478.00",0.10%,-3.33%,-5.61%,"$7,294,427,117"
2026-02-16 01:59:53,Aster,aster,$0.73,"$178,429,428.00",0.10%,-0.41%,+17.34%,"$1,785,270,832"
2026-02-16 01:59:53,Stellar,xlm,$0.17,"$201,976,113.00",0.11%,-2.77%,+5.07%,"$5,591,979,014"
2026-02-16 01:59:53,Shiba Inu,shib,$0.00,"$214,580,086.00",0.11%,-9.23%,+6.71%,"$3,856,993,738"
2026-02-16 01:59:53,PAX Gold,paxg,"$5,035.21","$244,015,090.00",0.13%,+0.23%,+0.41%,"$2,311,209,610"
2026-02-16 01:59:53,Avalanche,avax,$9.28,"$260,692,031.00",0.14%,-3.94%,+2.00%,"$4,008,083,219"
2026-02-16 01:59:53,Uniswap,uni,$3.47,"$262,493,394.00",0.14%,-5.61%,-0.17%,"$2,197,863,537"
2026-02-16 01:59:53,Bitcoin Cash,bch,$556.07,"$277,109,131.00",0.15%,-1.49%,+4.86%,"$11,122,787,735"
2026-02-16 01:59:53,Litecoin,ltc,$55.02,"$334,015,557.00",0.18%,-2.39%,+1.11%,"$4,228,320,763"
2026-02-16 01:59:53,Chainlink,link,$8.77,"$350,330,181.00",0.19%,-4.13%,-0.79%,"$6,207,349,115"
2026-02-16 01:59:53,Aave,aave,$125.30,"$382,178,922.00",0.20%,-3.17%,+10.53%,"$1,903,797,342"
2026-02-16 01:59:53,TRON,trx,$0.28,"$489,527,858.00",0.26%,-0.75%,+0.59%,"$26,578,730,660"
2026-02-16 01:59:53,Zcash,zec,$296.04,"$508,073,130.00",0.27%,-8.98%,+23.85%,"$4,885,018,630"
